signal,data_class,label,train_dsr,wf_dsr,cohort_wf_dd,true_account_dd,n_train,n_wf,win_rate,expectancy,profit_factor,avg_hold_days,wf_cagr,excess_spy,excess_qqq,theme_bet,theme_share,d3_allowed,d3_gated_n,d3_gated_mean_ret,d3_wf_occurrences,data_flags,source_report,git_sha
momentum_12_1,EQUITY,INSUFFICIENT_REGIME_INSTANCES,0.0038080392471315653,0.0033682840411291682,0.8653823398644276,0.7636792415590276,4602,2754,0.4989106753812636,-0.0017386158075629165,0.9774979867694845,26.684095860566448,-0.13010617487453224,-0.2839651199406299,-0.3469480859872338,True,0.458,[1],330,0.005512402886594389,0,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
rsi_14,EQUITY,INSUFFICIENT_REGIME_INSTANCES,0.006453103699839727,0.0019040362946431127,0.3920511366290088,0.34975990949913505,9232,6700,0.49388059701492537,-0.0013170142935045796,0.9725432220763284,26.421044776119402,0.010023789116029524,-0.14383515595006813,-0.20681812199667204,True,0.405,"[0, 1]",4181,0.0032298738755241795,2,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
macd,EQUITY,NO_EDGE,1.2704140421399562e-06,0.02939980922937219,0.514274248111455,0.591210120460212,9238,6697,0.4924593101388681,0.0035633783334928617,1.0605595358102224,26.422577273406002,-0.05219693224977129,-0.20605587731586894,-0.26903884336247286,False,0.308,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
stoch,EQUITY,INSUFFICIENT_REGIME_INSTANCES,0.0014197807066007124,0.010629413455023204,0.4370111355824061,0.4109328717612776,9238,6692,0.49701135684399284,0.0009566742216555245,1.0204171942491336,26.422295277943814,0.0409899987808966,-0.11286894628520105,-0.17585191233180497,True,0.408,[0],3320,0.002238184064773483,2,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
roc_63,EQUITY,INSUFFICIENT_REGIME_INSTANCES,0.002621939383470762,0.003948192230053635,0.7475374927101958,0.7356468525534481,9232,6699,0.4975369458128079,-0.0007362831575160318,0.9878380165316037,26.420361247947454,-0.09942329297662977,-0.2532822380427274,-0.31626520408933134,True,0.401,"[5, 1]",1137,0.009329610604703423,0,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
ema_align,EQUITY,NO_EDGE,4.814309880148013e-05,6.225203715548997e-05,0.60768062563484,0.5617580539815177,9142,6594,0.4960570215347285,-0.004717139316317136,0.9051319843094602,26.424021838034577,-0.08811862722015407,-0.24197757228625172,-0.30496053833285564,True,0.424,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
slope,EQUITY,INSUFFICIENT_REGIME_INSTANCES,0.0032141626157033355,0.0019299410984521081,0.7432837460090632,0.7366775159015243,9234,6697,0.49469911900851127,-0.001918797089948256,0.9683884303176246,26.42063610571898,-0.11182976088954999,-0.26568870595564764,-0.32867167200225156,False,0.397,"[5, 1]",1138,0.009166416348328123,0,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
adx_dir,EQUITY,REGIME_SUSPECT,2.5709311254589303e-05,0.0077956687555817,0.5288127305098248,0.6396816510836866,9238,6700,0.49716417910447763,0.0005776577300668693,1.0123379564933992,26.421044776119402,-0.05900697175859837,-0.21286591682469602,-0.27584888287129994,False,0.296,"[3, 2]",2065,0.004047097114259919,3,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
bb_width,EQUITY,NO_EDGE,1.226104095578158e-06,1.836825174063767e-08,0.9788751557670219,0.9422863848157347,9238,6693,0.4988794262662483,-0.02145097513536268,0.6860798389967705,26.422232182877632,-0.28961961893726684,-0.4434785640033645,-0.5064615300499684,True,0.72,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
atr_pct,EQUITY,INSUFFICIENT_REGIME_INSTANCES,1.3133888745318536e-06,1.2626510487987265e-08,0.9894515151187782,0.9644162342700856,9238,6692,0.5046323968918112,-0.024804699183760836,0.6552143689903291,26.422145845786012,-0.34297150414891,-0.49683044921500763,-0.5598134152616115,True,0.818,[3],460,0.03083901531900218,0,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
rvol,EQUITY,INSUFFICIENT_REGIME_INSTANCES,4.853812810304738e-06,1.0017225105604076e-08,0.989592069161921,0.9635468711359876,9238,6695,0.5035100821508588,-0.024887452836584535,0.6506865373465333,26.42150858849888,-0.33849134038862805,-0.4923502854547257,-0.5553332515013296,True,0.752,[3],460,0.02970724840724238,0,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
support_res,EQUITY,NO_EDGE,0.0004848050687896712,0.0015713181053250561,0.7258256070711152,0.7109192142239817,9238,6700,0.5207462686567165,-0.0021110468188939233,0.9582391504825528,26.421194029850746,-0.0697694755299817,-0.22362842059607935,-0.28661138664268326,True,0.485,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
trend,EQUITY,NO_EDGE,0.0033194591550126966,0.004402992666459691,0.6901755930368836,0.7408963674274656,9142,6599,0.5014396120624337,-0.0003092032039215075,0.9944453380231124,26.42203364146083,-0.08596777363162,-0.23982671869771766,-0.30280968474432157,False,0.372,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
risk,EQUITY,NO_EDGE,1.5519950901963735e-06,8.084688477712043e-09,0.9900614932084023,0.964422919632104,9238,6692,0.4967124925283921,-0.02518817711397387,0.6496600367584898,26.422295277943814,-0.33754025413919897,-0.4913991992052966,-0.5543821652519005,True,0.755,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
beat_and_raise_pead,FMP,INSUFFICIENT_REGIME_INSTANCES,0.3380932712124967,0.11935622287528747,0.7997069157758623,0.4595078081699109,4334,3715,0.5407806191117093,0.007522525794384065,1.2644056760418991,12.807267833109018,0.030722782352049505,-0.12313616271404815,-0.18611912876065206,True,0.447,"[1, 0]",2006,0.010858219703071232,2,SURVIVORSHIP,REGIME_SWEEP_2010_2026,53d1caf
