signal,data_class,label,train_dsr,wf_dsr,cohort_wf_dd,true_account_dd,n_train,n_wf,win_rate,expectancy,profit_factor,avg_hold_days,wf_cagr,excess_spy,excess_qqq,theme_bet,theme_share,d3_allowed,d3_gated_n,d3_gated_mean_ret,d3_wf_occurrences,data_flags,source_report,git_sha
momentum_12_1,EQUITY,NO_EDGE,0.0017242428707395336,0.255642913144852,0.07978765038894493,0.19155537247492893,1136,344,0.5232558139534884,0.0539582149448174,1.9863770800208431,25.0,0.3647331593186396,0.1701682336477499,0.06782236486648086,False,0.269,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
rsi_14,EQUITY,NO_EDGE,0.17026097773792448,0.000575223183711309,0.18333428661956483,0.17520454330977364,3130,1189,0.4861227922624054,-0.004600395172519148,0.9106848308434522,25.323801513877207,-0.01352861664573235,-0.20809354231662203,-0.3104394110978911,False,0.285,[3],799,-0.007964056582415748,1,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
macd,EQUITY,NO_EDGE,0.0008001586805284705,0.0004325542218999823,0.2889558117723922,0.2523014700488043,3122,1189,0.5004205214465938,-0.007170293521490764,0.8955493465039984,25.32296047098402,-0.08305869661695386,-0.27762362228784354,-0.3799694910691126,False,0.32,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
stoch,EQUITY,NO_EDGE,0.05706664489148836,0.007350543130368607,0.1981327608803419,0.2155283773455614,3129,1192,0.48070469798657717,0.0009602165645244466,1.0187607503031235,25.323825503355703,-0.037537967528643024,-0.2321028931995327,-0.33444876198080176,False,0.234,[3],799,-0.009498194378005757,1,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
roc_63,EQUITY,NO_EDGE,2.1404857396975365e-05,0.04127363630300181,0.3230677102475257,0.23442197718195057,3115,1190,0.5084033613445378,0.01735125303499201,1.2928283365598623,25.323529411764707,0.05065485603601405,-0.14391006963487563,-0.24625593841614468,True,0.403,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
ema_align,EQUITY,NO_EDGE,4.546621348816063e-09,0.004820628643648106,0.11494442415756437,0.12926229043339887,2383,1183,0.47675401521555366,-4.702641222324331e-05,0.9990443884006575,25.32037193575655,-0.06844420226280568,-0.26300912793369535,-0.3653549967149644,False,0.334,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
slope,EQUITY,NO_EDGE,7.4139934723184595e-06,0.06312516276514644,0.28402272384681004,0.2060417574639598,3110,1188,0.51010101010101,0.01972994942532532,1.3350472773968642,25.32070707070707,0.0971500580773128,-0.09741486759357687,-0.19976073637484593,True,0.41,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
adx_dir,EQUITY,NO_EDGE,6.465757220738187e-06,0.02772426801050313,0.07508074943039292,0.1639239500326164,3128,1188,0.5075757575757576,0.0053712169871341035,1.1163011692741938,25.324915824915823,-0.002118114376654101,-0.19668304004754378,-0.29902890882881283,True,0.412,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
bb_width,EQUITY,NO_EDGE,0.00028672936725706954,1.069975400135229e-05,0.7032214735227736,0.42981852462818537,3122,1193,0.46689019279128247,-0.03732699702891774,0.5344919192355136,25.32355406538139,-0.2886394056315127,-0.48320433130240237,-0.5855502000836714,True,0.533,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
atr_pct,EQUITY,NO_EDGE,0.00013252266563578606,2.3081584291544434e-06,0.7687094965931682,0.5259172435946669,3120,1189,0.44575273338940286,-0.046527484282141575,0.47852805318101543,25.324642556770396,-0.3619299702190738,-0.5564948958899635,-0.6588407646712325,True,0.534,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
rvol,EQUITY,NO_EDGE,0.0001678169744063339,7.782677956439397e-06,0.7635214702790404,0.5087820087670996,3118,1187,0.45998315080033697,-0.044739081504854096,0.4913751397499274,25.32603201347936,-0.3707446958174735,-0.5653096214883632,-0.6676554902696322,True,0.557,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
support_res,EQUITY,NO_EDGE,0.0003196416852944047,0.0028298220006870755,0.34335496524603787,0.24350117316535247,3119,1184,0.504222972972973,-0.002297826102416773,0.9566584175206948,25.326013513513512,-0.05039190490408485,-0.24495683057497453,-0.3473026993562436,False,0.4,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
trend,EQUITY,NO_EDGE,1.6146411496884443e-06,0.05017687680246591,0.20840925837114102,0.20321377211802583,2383,1179,0.48770144189991516,0.012133860268861329,1.2378626837839455,25.32654792196777,-0.013932647050052815,-0.2084975727209425,-0.31084344150221155,False,0.397,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
risk,EQUITY,NO_EDGE,0.00012721094721651862,9.140134123544926e-06,0.765220134989006,0.49079350070041294,3122,1189,0.4659377628259041,-0.04378552364649217,0.5012342082361102,25.324642556770396,-0.3383785788440896,-0.5329435045149793,-0.6352893732962483,True,0.576,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
skew_25d,OPTIONS,NO_EDGE,0.007507191491862649,0.24693522904202875,0.10208106951313925,0.1270706870540833,362,86,0.46511627906976744,0.013641763743655316,1.4201017798237738,30.790697674418606,1.3815556614867393,1.1869907358158496,1.0846448670345805,True,0.602,[],0,,,CACHE_LIMITED|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
vrp_z,OPTIONS,NO_EDGE,0.5695849965316733,0.0003979507381186119,0.6263805673208177,0.4486799585040856,362,86,0.5813953488372093,0.004553434768320883,1.1095359160350236,30.790697674418606,-0.383124518951081,-0.5776894446219707,-0.6800353134032397,True,0.472,[3],48,-0.02592839530049905,1,CACHE_LIMITED|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
iv_call_put_spread,OPTIONS,NO_EDGE,0.00978731044351694,0.23292158473522273,0.011364364756469377,0.1509578811696043,362,86,0.4883720930232558,0.011061857489541048,1.343562666030664,30.790697674418606,0.49195964677330384,0.29739472110241416,0.1950488523211451,False,0.395,[3],48,0.006741403992288143,1,CACHE_LIMITED|SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
beat_and_raise_pead,FMP,INSUFFICIENT_REGIME_INSTANCES,0.0765447954206097,0.032604233174910076,0.7923333660068486,0.14812373925895472,1454,620,0.5532258064516129,0.005956304032330686,1.1973053811141003,12.138709677419355,0.13073746476347492,-0.06382746090741476,-0.1661733296886838,False,0.287,[3],450,0.0018526335226208663,1,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
insider_cluster,FMP,SMALL_N,0.04963975893074364,0.30308264468805135,0.36538512307480764,0.3334408193371159,6,12,0.6666666666666666,0.17312118734852633,4.615084355388136,72.08333333333333,0.5427357366659713,0.3481708109950816,0.24582494221381257,True,0.772,[3],9,0.19394342574026485,1,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
short_squeeze_bearish,SI,NO_EDGE,0.0014968701815963011,0.04816389555224244,0.11809737643759831,0.08243056705760776,4687,1792,0.5061383928571429,0.00790548049911771,1.1493358604033894,25.324776785714285,0.060739848618239556,-0.13382507705265012,-0.23617094583391918,False,0.238,[],0,,,SURVIVORSHIP,REGIME_SWEEP_2026-06-20,d6c9dbf
